Learning Rate, Epochs, Sampling Rate, test data fraction, max layers, max neurons, Error
0.1,1,0.1,0.1,3,64,0.522695200
0.1,2,0.1,0.1,3,64,0.520861840
0.1,3,0.1,0.1,3,64,0.508575050
0.1,4,0.1,0.1,3,64,0.501205850
0.1,5,0.1,0.1,3,64,0.471119290
0.1,6,0.1,0.1,3,64,0.429145870
0.1,7,0.1,0.1,3,64,0.406163720
0.1,8,0.1,0.1,3,64,0.386416200
0.1,9,0.1,0.1,3,64,0.382387260
0.1,10,0.1,0.1,3,64,0.378070390
0.1,11,0.1,0.1,3,64,0.361246620
0.1,12,0.1,0.1,3,64,0.370660880
0.1,13,0.1,0.1,3,64,0.372273950
0.1,14,0.1,0.1,3,64,0.372675710
0.1,15,0.1,0.1,3,64,0.357390100
0.1,16,0.1,0.1,3,64,0.363521170
0.1,17,0.1,0.1,3,64,0.363732450
0.1,18,0.1,0.1,3,64,0.359059890
0.1,19,0.1,0.1,3,64,0.359932890
0.1,20,0.1,0.1,3,64,0.352113140
0.1,21,0.1,0.1,3,64,0.349401440
0.1,22,0.1,0.1,3,64,0.347518960
0.1,23,0.1,0.1,3,64,0.341632210
0.1,24,0.1,0.1,3,64,0.354371120
0.1,25,0.1,0.1,3,64,0.342758760
0.1,26,0.1,0.1,3,64,0.338855450
0.1,27,0.1,0.1,3,64,0.353114920
0.1,28,0.1,0.1,3,64,0.338739000
0.1,29,0.1,0.1,3,64,0.334415930
0.1,30,0.1,0.1,3,64,0.341171910
0.1,31,0.1,0.1,3,64,0.329247080
0.1,32,0.1,0.1,3,64,0.329999490
0.1,33,0.1,0.1,3,64,0.326412920
0.1,34,0.1,0.1,3,64,0.317109330
0.1,35,0.1,0.1,3,64,0.301391330
0.1,36,0.1,0.1,3,64,0.330359620
0.1,37,0.1,0.1,3,64,0.303153520
0.1,38,0.1,0.1,3,64,0.319554610
0.1,39,0.1,0.1,3,64,0.303000880
0.1,40,0.1,0.1,3,64,0.307108020
0.1,41,0.1,0.1,3,64,0.297581050
0.1,42,0.1,0.1,3,64,0.282420170
0.1,43,0.1,0.1,3,64,0.281809020
0.1,44,0.1,0.1,3,64,0.253898720
0.1,45,0.1,0.1,3,64,0.296476230
0.1,46,0.1,0.1,3,64,0.257109130
0.1,47,0.1,0.1,3,64,0.273285630
0.1,48,0.1,0.1,3,64,0.261719060
0.1,49,0.1,0.1,3,64,0.275097680
0.1,50,0.1,0.1,3,64,0.242913680
0.1,51,0.1,0.1,3,64,0.248113290
0.1,52,0.1,0.1,3,64,0.248991840
0.1,53,0.1,0.1,3,64,0.252953800
0.1,54,0.1,0.1,3,64,0.243130200
0.1,55,0.1,0.1,3,64,0.245208510
0.1,56,0.1,0.1,3,64,0.237862190
0.1,57,0.1,0.1,3,64,0.227261820
0.1,58,0.1,0.1,3,64,0.231908260
0.1,59,0.1,0.1,3,64,0.231957340
0.1,60,0.1,0.1,3,64,0.217187740
0.1,61,0.1,0.1,3,64,0.210254290
0.1,62,0.1,0.1,3,64,0.210925650
0.1,63,0.1,0.1,3,64,0.233880790
0.1,64,0.1,0.1,3,64,0.193942060
0.1,65,0.1,0.1,3,64,0.195194880
0.1,66,0.1,0.1,3,64,0.160945550
0.1,67,0.1,0.1,3,64,0.205251200
0.1,68,0.1,0.1,3,64,0.198038160
0.1,69,0.1,0.1,3,64,0.173255860
0.1,70,0.1,0.1,3,64,0.195001460
0.1,71,0.1,0.1,3,64,0.179096530
0.1,72,0.1,0.1,3,64,0.168665090
0.1,73,0.1,0.1,3,64,0.184669020
0.1,74,0.1,0.1,3,64,0.163253890
0.1,75,0.1,0.1,3,64,0.173183360
0.1,76,0.1,0.1,3,64,0.179391830
0.1,77,0.1,0.1,3,64,0.153279040
0.1,78,0.1,0.1,3,64,0.166570040
0.1,79,0.1,0.1,3,64,0.160016000
0.1,80,0.1,0.1,3,64,0.145728980
0.1,81,0.1,0.1,3,64,0.132801800
0.1,82,0.1,0.1,3,64,0.132829780
0.1,83,0.1,0.1,3,64,0.135513980
0.1,84,0.1,0.1,3,64,0.136259440
0.1,85,0.1,0.1,3,64,0.159715480
0.1,86,0.1,0.1,3,64,0.136923730
0.1,87,0.1,0.1,3,64,0.120752940
0.1,88,0.1,0.1,3,64,0.146808310
0.1,89,0.1,0.1,3,64,0.120247950
0.1,90,0.1,0.1,3,64,0.128395640
0.1,91,0.1,0.1,3,64,0.138135080
0.1,92,0.1,0.1,3,64,0.140757900
0.1,93,0.1,0.1,3,64,0.126536470
0.1,94,0.1,0.1,3,64,0.110296120
0.1,95,0.1,0.1,3,64,0.134147130
0.1,96,0.1,0.1,3,64,0.113228480
0.1,97,0.1,0.1,3,64,0.139655130
0.1,98,0.1,0.1,3,64,0.130584970
0.1,99,0.1,0.1,3,64,0.085311320
0.1,100,0.1,0.1,3,64,0.123436530
