Learning Rate, Epochs, Sampling Rate, test data fraction, max layers, max neurons, Error
0.1,1,0.1,0.1,4,32,0.525066270
0.1,2,0.1,0.1,4,32,0.521610810
0.1,3,0.1,0.1,4,32,0.500757170
0.1,4,0.1,0.1,4,32,0.487094940
0.1,5,0.1,0.1,4,32,0.477478940
0.1,6,0.1,0.1,4,32,0.427291330
0.1,7,0.1,0.1,4,32,0.395422150
0.1,8,0.1,0.1,4,32,0.392492170
0.1,9,0.1,0.1,4,32,0.380425580
0.1,10,0.1,0.1,4,32,0.373263790
0.1,11,0.1,0.1,4,32,0.376557110
0.1,12,0.1,0.1,4,32,0.360276740
0.1,13,0.1,0.1,4,32,0.369108800
0.1,14,0.1,0.1,4,32,0.371127210
0.1,15,0.1,0.1,4,32,0.373254080
0.1,16,0.1,0.1,4,32,0.366312260
0.1,17,0.1,0.1,4,32,0.363032150
0.1,18,0.1,0.1,4,32,0.360530820
0.1,19,0.1,0.1,4,32,0.357184390
0.1,20,0.1,0.1,4,32,0.358997870
0.1,21,0.1,0.1,4,32,0.354240400
0.1,22,0.1,0.1,4,32,0.354304120
0.1,23,0.1,0.1,4,32,0.341900240
0.1,24,0.1,0.1,4,32,0.350196460
0.1,25,0.1,0.1,4,32,0.345160440
0.1,26,0.1,0.1,4,32,0.346050100
0.1,27,0.1,0.1,4,32,0.338150330
0.1,28,0.1,0.1,4,32,0.335524090
0.1,29,0.1,0.1,4,32,0.343405190
0.1,30,0.1,0.1,4,32,0.335057450
0.1,31,0.1,0.1,4,32,0.335551220
0.1,32,0.1,0.1,4,32,0.332926790
0.1,33,0.1,0.1,4,32,0.334686460
0.1,35,0.1,0.1,4,32,031.1000.0
