Learning Rate, Epochs, Sampling Rate, test data fraction, max layers, max neurons, Error
0.1,1,0.1,0.1,4,64,0.278781000
0.1,2,0.1,0.1,4,64,0.278781000
0.1,3,0.1,0.1,4,64,0.278781000
0.1,4,0.1,0.1,4,64,0.278781000
0.1,5,0.1,0.1,4,64,0.278781000
0.1,6,0.1,0.1,4,64,0.278781000
0.1,7,0.1,0.1,4,64,0.278781000
0.1,8,0.1,0.1,4,64,0.278781000
0.1,9,0.1,0.1,4,64,0.278781000
0.1,10,0.1,0.1,4,64,0.278781000
0.1,11,0.1,0.1,4,64,0.278781000
0.1,12,0.1,0.1,4,64,0.278781000
0.1,13,0.1,0.1,4,64,0.278781000
0.1,14,0.1,0.1,4,64,0.278781000
0.1,15,0.1,0.1,4,64,0.278781000
0.1,16,0.1,0.1,4,64,0.278781000
0.1,17,0.1,0.1,4,64,0.278781000
0.1,18,0.1,0.1,4,64,0.278781000
0.1,19,0.1,0.1,4,64,0.278781000
0.1,20,0.1,0.1,4,64,0.278781000
0.1,21,0.1,0.1,4,64,0.278781000
0.1,22,0.1,0.1,4,64,0.278781000
0.1,23,0.1,0.1,4,64,0.278781000
0.1,24,0.1,0.1,4,64,0.278781000
0.1,25,0.1,0.1,4,64,0.278781000
0.1,26,0.1,0.1,4,64,0.278781000
0.1,27,0.1,0.1,4,64,0.278781000
0.1,28,0.1,0.1,4,64,0.278781000
0.1,29,0.1,0.1,4,64,0.278781000
0.1,30,0.1,0.1,4,64,0.278781000
0.1,31,0.1,0.1,4,64,0.278781000
0.1,32,0.1,0.1,4,64,0.278901000
0.1,33,0.1,0.1,4,64,0.278894000
0.1,34,0.1,0.1,4,64,0.278781000
0.1,35,0.1,0.1,4,64,0.278781000
0.1,36,0.1,0.1,4,64,0.278781000
0.1,37,0.1,0.1,4,64,0.278781000
0.1,38,0.1,0.1,4,64,0.278781000
0.1,39,0.1,0.1,4,64,0.278781000
0.1,40,0.1,0.1,4,64,0.278781000
0.1,41,0.1,0.1,4,64,0.278781000
0.1,42,0.1,0.1,4,64,0.278781000
0.1,43,0.1,0.1,4,64,0.278781000
0.1,44,0.1,0.1,4,64,0.278781000
0.1,45,0.1,0.1,4,64,0.278781000
0.1,46,0.1,0.1,4,64,0.279123000
0.1,47,0.1,0.1,4,64,0.278781000
0.1,48,0.1,0.1,4,64,0.278781000
0.1,49,0.1,0.1,4,64,0.278781000
0.1,50,0.1,0.1,4,64,0.278779000
0.1,51,0.1,0.1,4,64,0.278781000
0.1,52,0.1,0.1,4,64,0.278781000
0.1,53,0.1,0.1,4,64,0.278781000
0.1,54,0.1,0.1,4,64,0.283192000
0.1,55,0.1,0.1,4,64,0.278781000
0.1,56,0.1,0.1,4,64,0.278781000
0.1,57,0.1,0.1,4,64,0.278781000
0.1,58,0.1,0.1,4,64,0.278781000
0.1,58,0.1,0.1,4,64,0.278781000
0.1,59,0.1,0.1,4,64,0.278781000
0.1,60,0.1,0.1,4,64,0.278781000
0.1,61,0.1,0.1,4,64,0.278781000
0.1,62,0.1,0.1,4,64,0.280453000
0.1,63,0.1,0.1,4,64,0.265714000
0.1,64,0.1,0.1,4,64,0.279374000
0.1,65,0.1,0.1,4,64,0.278781000
0.1,66,0.1,0.1,4,64,0.278781000
0.1,67,0.1,0.1,4,64,0.279084000
0.1,68,0.1,0.1,4,64,0.278781000
0.1,69,0.1,0.1,4,64,0.278781000
0.1,70,0.1,0.1,4,64,0.278781000
0.1,71,0.1,0.1,4,64,0.278781000
0.1,72,0.1,0.1,4,64,0.275336000
0.1,73,0.1,0.1,4,64,0.280104000
0.1,74,0.1,0.1,4,64,0.287830000
0.1,75,0.1,0.1,4,64,0.278781000
0.1,76,0.1,0.1,4,64,0.279548000
0.1,77,0.1,0.1,4,64,0.278781000
0.1,78,0.1,0.1,4,64,0.290379000
0.1,79,0.1,0.1,4,64,0.278781000
0.1,80,0.1,0.1,4,64,0.283933000
0.1,81,0.1,0.1,4,64,0.278781000
0.1,82,0.1,0.1,4,64,0.283132000
0.1,83,0.1,0.1,4,64,0.315067000
0.1,84,0.1,0.1,4,64,0.284781000
0.1,85,0.1,0.1,4,64,0.278781000
0.1,86,0.1,0.1,4,64,0.278781000
0.1,87,0.1,0.1,4,64,0.290675000
0.1,88,0.1,0.1,4,64,0.282399000
0.1,89,0.1,0.1,4,64,0.295646000
0.1,90,0.1,0.1,4,64,0.291760000
0.1,91,0.1,0.1,4,64,0.297266000
0.1,92,0.1,0.1,4,64,0.294396000
0.1,93,0.1,0.1,4,64,0.277509000
0.1,94,0.1,0.1,4,64,0.282795000
0.1,95,0.1,0.1,4,64,0.261126000
0.1,96,0.1,0.1,4,64,0.286055000
0.1,97,0.1,0.1,4,64,0.285939000
0.1,98,0.1,0.1,4,64,0.268473000
0.1,99,0.1,0.1,4,64,0.291044000
0.1,100,0.1,0.1,4,64,0.286653000
