Learning Rate, Epochs, Sampling Rate, test data fraction, max layers, max neurons, Error
0.1,1,0.1,0.1,4,8,0.969159400
0.1,2,0.1,0.1,4,8,0.628112700
0.1,3,0.1,0.1,4,8,0.636799700
0.1,4,0.1,0.1,4,8,0.645944030
0.1,5,0.1,0.1,4,8,0.640446640
0.1,6,0.1,0.1,4,8,0.643698190
0.1,7,0.1,0.1,4,8,0.641202530
0.1,8,0.1,0.1,4,8,0.641533490
0.1,9,0.1,0.1,4,8,0.647645320
0.1,10,0.1,0.1,4,8,0.630540820
0.1,11,0.1,0.1,4,8,0.640500160
0.1,12,0.1,0.1,4,8,0.638693940
0.1,13,0.1,0.1,4,8,0.628895730
0.1,14,0.1,0.1,4,8,0.629832930
0.1,15,0.1,0.1,4,8,0.629935230
0.1,16,0.1,0.1,4,8,0.630506690
0.1,17,0.1,0.1,4,8,0.633629940
0.1,18,0.1,0.1,4,8,0.638536040
0.1,19,0.1,0.1,4,8,0.638320080
0.1,20,0.1,0.1,4,8,0.637138820
0.1,21,0.1,0.1,4,8,0.641616600
0.1,22,0.1,0.1,4,8,0.642242510
0.1,23,0.1,0.1,4,8,0.645370990
0.1,24,0.1,0.1,4,8,0.640582690
0.1,25,0.1,0.1,4,8,0.637793380
0.1,26,0.1,0.1,4,8,0.634564900
0.1,27,0.1,0.1,4,8,0.637112400
0.1,28,0.1,0.1,4,8,0.634080960
0.1,29,0.1,0.1,4,8,0.636998270
0.1,30,0.1,0.1,4,8,0.639883060
0.1,31,0.1,0.1,4,8,0.628486160
0.1,32,0.1,0.1,4,8,0.630463230
0.1,33,0.1,0.1,4,8,0.617499670
0.1,34,0.1,0.1,4,8,0.607982630
0.1,35,0.1,0.1,4,8,0.614819750
0.1,36,0.1,0.1,4,8,0.628686990
0.1,37,0.1,0.1,4,8,0.625714800
0.1,38,0.1,0.1,4,8,0.621390360
0.1,39,0.1,0.1,4,8,0.620347340
0.1,40,0.1,0.1,4,8,0.625843120
0.1,41,0.1,0.1,4,8,0.617357060
0.1,42,0.1,0.1,4,8,0.629959360
0.1,43,0.1,0.1,4,8,0.610367790
0.1,44,0.1,0.1,4,8,0.614940040
0.1,45,0.1,0.1,4,8,0.624906230
0.1,46,0.1,0.1,4,8,0.612768070
0.1,47,0.1,0.1,4,8,0.611080410
0.1,48,0.1,0.1,4,8,0.615482690
0.1,49,0.1,0.1,4,8,0.614463640
0.1,50,0.1,0.1,4,8,0.624498510
0.1,51,0.1,0.1,4,8,0.626437790
0.1,52,0.1,0.1,4,8,0.623556300
0.1,53,0.1,0.1,4,8,0.586635390
0.1,54,0.1,0.1,4,8,0.613399490
0.1,55,0.1,0.1,4,8,0.609060530
0.1,56,0.1,0.1,4,8,0.618061090
0.1,57,0.1,0.1,4,8,0.601630100
0.1,58,0.1,0.1,4,8,0.609735130
0.1,59,0.1,0.1,4,8,0.621893350
0.1,60,0.1,0.1,4,8,0.608509200
0.1,61,0.1,0.1,4,8,0.612874240
0.1,62,0.1,0.1,4,8,0.616883000
0.1,63,0.1,0.1,4,8,
